"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2664"
"Male","2042"
"Chhetri",""
"Female","1864"
"Male","1467"
"Damai/Dholi",""
"Female","376"
"Male","281"
"Gharti/Bhujel",""
"Female","134"
"Male","106"
"Gurung",""
"Female","630"
"Male","500"
"Hajam/Thakur",""
"Female","25"
"Male","20"
"Kami",""
"Female","535"
"Male","400"
"Kumal",""
"Female","572"
"Male","492"
"Magar",""
"Female","1984"
"Male","1571"
"Majhi",""
"Female","28"
"Male","33"
"Musalman",""
"Female","15"
"Male","17"
"Newar",""
"Female","2335"
"Male","1812"
"Others",""
"Female","30"
"Male","17"
"Sanyasi/Dasnami",""
"Female","144"
"Male","123"
"Sarki",""
"Female","1188"
"Male","915"
"Tamang",""
"Female","723"
"Male","650"
"Teli",""
"Female","8"
"Male","15"
"Thakali",""
"Female","37"
"Male","29"
"Thakuri",""
"Female","101"
"Male","83"
