"Population by Religion","Number"
"Bahai","28"
"Bon","68"
"Buddism","56185"
"Christianity","16674"
"Hindu","211733"
"Islam","2340"
"Jainism","68"
"Kirat","4907"
"Prakriti","155"
"Sikhism","75"
"Undefined","615"
"Total","292848"
