"Population by Caste/Ethinicity","Number"
"Bangali",""
"Female","14"
"Male","6"
"Brahman - Hill",""
"Female","475"
"Male","438"
"Chhetri",""
"Female","5738"
"Male","5176"
"Dalit Others",""
"Female","375"
"Male","307"
"Damai/Dholi",""
"Female","390"
"Male","340"
"Foreigner",""
"Female","9"
"Male","3"
"Kami",""
"Female","477"
"Male","394"
"Lohar",""
"Female","213"
"Male","201"
"Magar",""
"Female","26"
"Male","29"
"Mewahang Bala",""
"Female","19"
"Male","19"
"Others",""
"Female","6"
"Male","1"
"Pahari",""
"Female","8"
"Male","6"
"Sanyasi/Dasnami",""
"Female","17"
"Male","19"
"Sarki",""
"Female","384"
"Male","329"
"Thakuri",""
"Female","899"
"Male","797"
