"Population by Five Years Age Group","Number"
"0-4",""
"Female","1207"
"Male","1197"
"10-14",""
"Female","1319"
"Male","1280"
"15-19",""
"Female","977"
"Male","802"
"20-24",""
"Female","810"
"Male","471"
"25-29",""
"Female","621"
"Male","441"
"30-34",""
"Female","529"
"Male","394"
"35-39",""
"Female","475"
"Male","384"
"40-44",""
"Female","395"
"Male","394"
"45-49",""
"Female","354"
"Male","297"
"50-54",""
"Female","271"
"Male","286"
"55-59",""
"Female","231"
"Male","244"
"5-9",""
"Female","1220"
"Male","1297"
"60-64",""
"Female","209"
"Male","215"
"65-69",""
"Female","180"
"Male","139"
"70-74",""
"Female","133"
"Male","105"
"75+",""
"Female","119"
"Male","119"
