"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","4705"
"Cow Dung","53"
"Electricity","133"
"Kerosene","1652"
"LP Gas","75672"
"Not stated","384"
"Others","287"
"Wood/Firewood","22744"
"Total","105630"
