"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","661"
"Male","526"
"Chhetri",""
"Female","3921"
"Male","3185"
"Dalit Others",""
"Female","168"
"Male","163"
"Damai/Dholi",""
"Female","428"
"Male","335"
"Kami",""
"Female","1477"
"Male","1094"
"Magar",""
"Female","5632"
"Male","4758"
"Others",""
"Female","45"
"Male","29"
"Sanyasi/Dasnami",""
"Female","176"
"Male","151"
"Sarki",""
"Female","725"
"Male","538"
"Sunuwar",""
"Female","11"
"Male","10"
"Thakuri",""
"Female","122"
"Male","90"
