"Population by Five Years Age Group","Number"
"0-4",""
"Female","1718"
"Male","1727"
"10-14",""
"Female","1864"
"Male","1777"
"15-19",""
"Female","1515"
"Male","916"
"20-24",""
"Female","1221"
"Male","594"
"25-29",""
"Female","991"
"Male","515"
"30-34",""
"Female","740"
"Male","502"
"35-39",""
"Female","653"
"Male","463"
"40-44",""
"Female","643"
"Male","435"
"45-49",""
"Female","499"
"Male","449"
"50-54",""
"Female","431"
"Male","415"
"55-59",""
"Female","335"
"Male","355"
"5-9",""
"Female","1954"
"Male","1882"
"60-64",""
"Female","347"
"Male","333"
"65-69",""
"Female","194"
"Male","244"
"70-74",""
"Female","137"
"Male","153"
"75+",""
"Female","124"
"Male","119"
