"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","1069"
"Christianity","112"
"Hindu","18966"
"Islam","17"
"Jainism","0"
"Kirat","0"
"Prakriti","22"
"Sikhism","0"
"Undefined","3"
"Total","20190"
