"Population by Five Years Age Group","Number"
"0-4",""
"Female","819"
"Male","905"
"10-14",""
"Female","1306"
"Male","1200"
"15-19",""
"Female","1097"
"Male","981"
"20-24",""
"Female","902"
"Male","495"
"25-29",""
"Female","790"
"Male","456"
"30-34",""
"Female","588"
"Male","395"
"35-39",""
"Female","518"
"Male","374"
"40-44",""
"Female","508"
"Male","372"
"45-49",""
"Female","528"
"Male","405"
"50-54",""
"Female","429"
"Male","432"
"55-59",""
"Female","317"
"Male","347"
"5-9",""
"Female","1185"
"Male","1219"
"60-64",""
"Female","293"
"Male","267"
"65-69",""
"Female","207"
"Male","205"
"70-74",""
"Female","145"
"Male","148"
"75+",""
"Female","211"
"Male","191"
