"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","283"
"Male","252"
"Chhetri",""
"Female","3781"
"Male","3356"
"Damai/Dholi",""
"Female","264"
"Male","203"
"Gharti/Bhujel",""
"Female","42"
"Male","24"
"Gurung",""
"Female","611"
"Male","509"
"Kami",""
"Female","347"
"Male","289"
"Limbu",""
"Female","92"
"Male","72"
"Magar",""
"Female","620"
"Male","540"
"Newar",""
"Female","413"
"Male","344"
"Others",""
"Female","24"
"Male","30"
"Rai",""
"Female","213"
"Male","169"
"Sanyasi/Dasnami",""
"Female","48"
"Male","29"
"Sarki",""
"Female","190"
"Male","137"
"Sherpa",""
"Female","182"
"Male","153"
"Sunuwar",""
"Female","15"
"Male","14"
"Tamang",""
"Female","637"
"Male","537"
"Tharu",""
"Female","4"
"Male","10"
"Undefined Others",""
"Female","12"
"Male","3"
"Yakkha",""
"Female","2065"
"Male","1721"
