"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","43"
"Male","41"
"","84"
"Chhetri",""
"Female","229"
"Male","186"
"","415"
"Dalit Others",""
"Female","7"
"Male","8"
"","15"
"Damai/Dholi",""
"Female","38"
"Male","48"
"","86"
"Gharti/Bhujel",""
"Female","7"
"Male","10"
"","17"
"Kami",""
"Female","262"
"Male","192"
"","454"
"Magar",""
"Female","499"
"Male","473"
"","972"
"Musalman",""
"Female","23"
"Male","16"
"","39"
"Newar",""
"Female","397"
"Male","401"
"","798"
"Others",""
"Female","13"
"Male","20"
"","33"
"Sarki",""
"Female","10"
"Male","10"
"","20"
"Sunuwar",""
"Female","182"
"Male","144"
"","326"
"Tamang",""
"Female","5403"
"Male","4771"
"","10174"
"Thami",""
"Female","177"
"Male","151"
"","328"
