"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","354"
"Cow Dung","0"
"Electricity Fuel","1"
"KeroseneFuel","13"
"LP Gas","155"
"Not Sated about Fuel","22"
"OthersFuel","0"
"Wood/FireWood","5351"
"Total","5896"
