"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","2489"
"Male","1966"
"","4455"
"Brahmu/ Baramo",""
"Female","401"
"Male","318"
"","719"
"Chhetri",""
"Female","1557"
"Male","1218"
"","2775"
"Dalit Others",""
"Female","10"
"Male","8"
"","18"
"Damai/Dholi",""
"Female","598"
"Male","544"
"","1142"
"Ghale",""
"Female","34"
"Male","37"
"","71"
"Gharti/Bhujel",""
"Female","188"
"Male","145"
"","333"
"Gurung",""
"Female","3140"
"Male","2538"
"","5678"
"Kami",""
"Female","1026"
"Male","831"
"","1857"
"Kumal",""
"Female","516"
"Male","386"
"","902"
"Magar",""
"Female","401"
"Male","335"
"","736"
"Musalman",""
"Female","218"
"Male","152"
"","370"
"Newar",""
"Female","434"
"Male","348"
"","782"
"Others",""
"Female","36"
"Male","26"
"","62"
"Rai",""
"Female","10"
"Male","3"
"","13"
"Sanyasi/Dasnami",""
"Female","156"
"Male","118"
"","274"
"Sarki",""
"Female","1272"
"Male","1061"
"","2333"
"Tamang",""
"Female","577"
"Male","453"
"","1030"
"Thakuri",""
"Female","38"
"Male","29"
"","67"
"Tharu",""
"Female","6"
"Male","5"
"","11"
