"Population by Religion","Number"
"Bahai","1"
"Bon","0"
"Buddism","676"
"Christianity","50"
"Hindu","31898"
"Islam","1"
"Jainism","0"
"Kirat","0"
"Prakriti","1"
"Sikhism","0"
"Undefined","13"
"Total","32640"
