"Population by Caste Ethinicity","Number"
"Badi",""
"Female","46"
"Male","26"
"","72"
"Brahman - Hill",""
"Female","5820"
"Male","4469"
"","10289"
"Chhetri",""
"Female","2948"
"Male","2080"
"","5028"
"Damai/Dholi",""
"Female","514"
"Male","367"
"","881"
"Gharti/Bhujel",""
"Female","91"
"Male","82"
"","173"
"Gurung",""
"Female","86"
"Male","50"
"","136"
"Kami",""
"Female","1974"
"Male","1545"
"","3519"
"Kathabaniyan",""
"Female","11"
"Male","8"
"","19"
"Kumal",""
"Female","75"
"Male","62"
"","137"
"Magar",""
"Female","4364"
"Male","3161"
"","7525"
"Newar",""
"Female","607"
"Male","447"
"","1054"
"Others",""
"Female","20"
"Male","10"
"","30"
"Sanyasi/Dasnami",""
"Female","101"
"Male","84"
"","185"
"Sarki",""
"Female","1923"
"Male","1449"
"","3372"
"Terai Others",""
"Female","22"
"Male","12"
"","34"
"Thakuri",""
"Female","103"
"Male","83"
"","186"
