"Number of households by type of outer wall","Number"
"BambooWall","4130"
"Cement Bonded Bricks/Stone Wall","1400"
"Mud Bonded Bricks/Stone Wall","36"
"Not Stated about Wall","65"
"Other Type Wall","16"
"Unbaked Bricks","3"
"Wood/Planks","31"
"Total","5681"
