"Agricultural land use area","Hectare"
"Area under arable land","25522.00"
"Area under meadows and pasture","836.00"
"Area under permanent crops","1536.00"
"Area under Temporary crops","24728.00"
"Area under temporary fallow","624.00"
"Area under temporary meadows","170.00"
"Other land","1308.00"
"Ponds","0.00"
"Woodland and forest","1170.00"
"Total","55894.00"
