"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","12"
"Male","11"
"Brahman - Hill",""
"Female","293"
"Male","293"
"Chhetri",""
"Female","3744"
"Male","2973"
"Damai/Dholi",""
"Female","368"
"Male","314"
"Dhobi",""
"Female","21"
"Male","17"
"Gharti/Bhujel",""
"Female","49"
"Male","46"
"Kami",""
"Female","398"
"Male","354"
"Magar",""
"Female","1052"
"Male","811"
"Majhi",""
"Female","844"
"Male","779"
"Newar",""
"Female","3155"
"Male","2680"
"Others",""
"Female","16"
"Male","34"
"Pahari",""
"Female","38"
"Male","21"
"Rai",""
"Female","5"
"Male","6"
"Sanyasi/Dasnami",""
"Female","57"
"Male","79"
"Sarki",""
"Female","143"
"Male","160"
"Sunuwar",""
"Female","22"
"Male","18"
"Tamang",""
"Female","3658"
"Male","3053"
"Terai Others",""
"Female","13"
"Male","7"
"Thami",""
"Female","111"
"Male","106"
