"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","23"
"Christianity","41"
"Hindu","21613"
"Islam","0"
"Jainism","0"
"Kirat","0"
"Prakriti","10"
"Sikhism","0"
"Undefined","42"
"Total","21729"
