"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","249"
"Male","257"
"","506"
"Bangali",""
"Female","55"
"Male","56"
"","111"
"Baraee",""
"Female","68"
"Male","69"
"","137"
"Brahman - Hill",""
"Female","277"
"Male","275"
"","552"
"Brahman - Tarai",""
"Female","163"
"Male","179"
"","342"
"Chamar/ Harijan/ Ram",""
"Female","2310"
"Male","2267"
"","4577"
"Chhetri",""
"Female","84"
"Male","89"
"","173"
"Dalit Others",""
"Female","5"
"Male","7"
"","12"
"Damai/Dholi",""
"Female","14"
"Male","17"
"","31"
"Dhandi",""
"Female","6"
"Male","8"
"","14"
"Dhankar/ Dharikar",""
"Female","32"
"Male","31"
"","63"
"Dhobi",""
"Female","472"
"Male","460"
"","932"
"Dhunia",""
"Female","209"
"Male","182"
"","391"
"Dom",""
"Female","19"
"Male","25"
"","44"
"Dusadh/ Pasawan/ Pasi",""
"Female","326"
"Male","332"
"","658"
"Foreigner",""
"Female","8"
"Male","4"
"","12"
"Gurung",""
"Female","6"
"Male","6"
"","12"
"Hajam/Thakur",""
"Female","223"
"Male","227"
"","450"
"Halwai",""
"Female","110"
"Male","101"
"","211"
"Kahar",""
"Female","1027"
"Male","967"
"","1994"
"Kalar",""
"Female","17"
"Male","16"
"","33"
"Kalwar",""
"Female","149"
"Male","169"
"","318"
"Kami",""
"Female","146"
"Male","169"
"","315"
"Kathabaniyan",""
"Female","597"
"Male","589"
"","1186"
"Kayastha",""
"Female","37"
"Male","36"
"","73"
"Kewat",""
"Female","1064"
"Male","972"
"","2036"
"Koiri/Kushwaha",""
"Female","233"
"Male","255"
"","488"
"Kumhar",""
"Female","22"
"Male","15"
"","37"
"Kurmi",""
"Female","777"
"Male","731"
"","1508"
"Lohar",""
"Female","267"
"Male","250"
"","517"
"Magar",""
"Female","51"
"Male","44"
"","95"
"Mali",""
"Female","129"
"Male","123"
"","252"
"Mallaha",""
"Female","291"
"Male","292"
"","583"
"Musalman",""
"Female","3522"
"Male","3133"
"","6655"
"Newar",""
"Female","11"
"Male","16"
"","27"
"Nuniya",""
"Female","6"
"Male","5"
"","11"
"Others",""
"Female","31"
"Male","18"
"","49"
"Rajbhar",""
"Female","194"
"Male","173"
"","367"
"Rajput",""
"Female","47"
"Male","44"
"","91"
"Sanyasi/Dasnami",""
"Female","249"
"Male","263"
"","512"
"Sarki",""
"Female","15"
"Male","9"
"","24"
"Sonar",""
"Female","82"
"Male","85"
"","167"
"Teli",""
"Female","1451"
"Male","1440"
"","2891"
"Terai Others",""
"Female","436"
"Male","414"
"","850"
"Thakuri",""
"Female","11"
"Male","12"
"","23"
"Tharu",""
"Female","1048"
"Male","996"
"","2044"
"Yadav",""
"Female","1456"
"Male","1387"
"","2843"
"Yakkha",""
"Female","116"
"Male","96"
"","212"
