"Population by Five Years Age Group","Number"
"0-4",""
"Female","2942"
"Male","2996"
"10-14",""
"Female","3431"
"Male","3657"
"15-19",""
"Female","1956"
"Male","2434"
"20-24",""
"Female","1866"
"Male","1889"
"25-29",""
"Female","1889"
"Male","1863"
"30-34",""
"Female","1785"
"Male","1577"
"35-39",""
"Female","1428"
"Male","1575"
"40-44",""
"Female","1120"
"Male","1288"
"45-49",""
"Female","899"
"Male","1111"
"50-54",""
"Female","636"
"Male","777"
"55-59",""
"Female","678"
"Male","639"
"5-9",""
"Female","4031"
"Male","4228"
"60-64",""
"Female","657"
"Male","697"
"65-69",""
"Female","503"
"Male","572"
"70-74",""
"Female","369"
"Male","427"
"75+",""
"Female","298"
"Male","288"
