"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","59"
"Male","48"
"Brahman - Hill",""
"Female","159"
"Male","127"
"Chhetri",""
"Female","4231"
"Male","4176"
"Dalit Others",""
"Female","8"
"Male","12"
"Damai/Dholi",""
"Female","650"
"Male","570"
"Kami",""
"Female","2515"
"Male","2470"
"Kathabaniyan",""
"Female","25"
"Male","34"
"Magar",""
"Female","518"
"Male","547"
"Others",""
"Female","17"
"Male","15"
"Sanyasi/Dasnami",""
"Female","319"
"Male","321"
"Sarki",""
"Female","116"
"Male","117"
"Terai Others",""
"Female","10"
"Male","6"
"Thakuri",""
"Female","2361"
"Male","2288"
"Tharu",""
"Female","5"
"Male","9"
