"Population by Five Years Age Group","Number"
"0-4",""
"Female","1854"
"Male","1791"
"10-14",""
"Female","1506"
"Male","1538"
"15-19",""
"Female","1131"
"Male","1011"
"20-24",""
"Female","832"
"Male","720"
"25-29",""
"Female","754"
"Male","595"
"30-34",""
"Female","578"
"Male","490"
"35-39",""
"Female","577"
"Male","562"
"40-44",""
"Female","463"
"Male","481"
"45-49",""
"Female","403"
"Male","467"
"50-54",""
"Female","228"
"Male","347"
"55-59",""
"Female","208"
"Male","301"
"5-9",""
"Female","1900"
"Male","1848"
"60-64",""
"Female","273"
"Male","268"
"65-69",""
"Female","154"
"Male","170"
"70-74",""
"Female","88"
"Male","84"
"75+",""
"Female","44"
"Male","67"
