"Population by Five Years Age Group","Number"
"0-4",""
"Female","1904"
"Male","2005"
"10-14",""
"Female","1802"
"Male","2035"
"15-19",""
"Female","1037"
"Male","1372"
"20-24",""
"Female","1132"
"Male","992"
"25-29",""
"Female","1153"
"Male","1067"
"30-34",""
"Female","1075"
"Male","970"
"35-39",""
"Female","786"
"Male","901"
"40-44",""
"Female","654"
"Male","700"
"45-49",""
"Female","532"
"Male","553"
"50-54",""
"Female","472"
"Male","528"
"55-59",""
"Female","406"
"Male","447"
"5-9",""
"Female","2361"
"Male","2538"
"60-64",""
"Female","322"
"Male","435"
"65-69",""
"Female","297"
"Male","303"
"70-74",""
"Female","196"
"Male","238"
"75+",""
"Female","128"
"Male","196"
