"Number of households by type of outer wall","Number"
"BambooWall","1679"
"Cement Bonded Bricks/Stone Wall","457"
"Mud Bonded Bricks/Stone Wall","789"
"Not stated","136"
"Others","785"
"Unbaked Bricks","145"
"Wood/Planks","44"
"Total","4035"
