"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","29"
"Cow Dung","5"
"Electricity Fuel","3"
"KeroseneFuel","10"
"LP Gas","143"
"Not Sated about Fuel","21"
"OthersFuel","12"
"Wood/FireWood","6745"
"Total","6968"
