"Population by Caste Ethinicity","Number"
"Badi",""
"Female","22"
"Male","33"
"","55"
"Brahman - Hill",""
"Female","49"
"Male","32"
"","81"
"Chhantyal/Chhantel",""
"Female","58"
"Male","48"
"","106"
"Chhetri",""
"Female","412"
"Male","403"
"","815"
"Dalit Others",""
"Female","19"
"Male","21"
"","40"
"Damai/Dholi",""
"Female","240"
"Male","211"
"","451"
"Gurung",""
"Female","152"
"Male","129"
"","281"
"Kami",""
"Female","2280"
"Male","2087"
"","4367"
"Kurmi",""
"Female","28"
"Male","28"
"","56"
"Magar",""
"Female","5493"
"Male","4905"
"","10398"
"Newar",""
"Female","19"
"Male","20"
"","39"
"Others",""
"Female","24"
"Male","10"
"","34"
"Sanyasi/Dasnami",""
"Female","16"
"Male","19"
"","35"
"Terai Others",""
"Female","9"
"Male","11"
"","20"
"Thakali",""
"Female","44"
"Male","37"
"","81"
"Thakuri",""
"Female","555"
"Male","518"
"","1073"
