"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1409"
"Male","1312"
"Chhetri",""
"Female","903"
"Male","810"
"Damai/Dholi",""
"Female","194"
"Male","187"
"Gharti/Bhujel",""
"Female","12"
"Male","11"
"Gurung",""
"Female","216"
"Male","209"
"Kami",""
"Female","374"
"Male","287"
"Limbu",""
"Female","4597"
"Male","4204"
"Magar",""
"Female","119"
"Male","96"
"Newar",""
"Female","104"
"Male","110"
"Others",""
"Female","15"
"Male","19"
"Rai",""
"Female","1325"
"Male","1186"
"Sanyasi/Dasnami",""
"Female","89"
"Male","79"
"Sarki",""
"Female","78"
"Male","62"
"Sherpa",""
"Female","25"
"Male","15"
"Sunuwar",""
"Female","63"
"Male","58"
"Tamang",""
"Female","39"
"Male","35"
"Undefined Others",""
"Female","18"
"Male","21"
