"Agricultural land use area","Hectare"
"Area under arable land","19451.33"
"Area under meadows and pasture","3427.54"
"Area under permanent crops","14949.90"
"Area under Temporary crops","18814.20"
"Area under temporary fallow","518.39"
"Area under temporary meadows","118.73"
"Other land","1433.06"
"Ponds","1.03"
"Woodland and forest","1647.58"
