"Population by Five Years Age Group","Number"
"0-4",""
"Female","13423"
"Male","14685"
"10-14",""
"Female","20447"
"Male","19922"
"15-19",""
"Female","18750"
"Male","13698"
"20-24",""
"Female","14460"
"Male","6080"
"25-29",""
"Female","11918"
"Male","4993"
"30-34",""
"Female","9312"
"Male","4361"
"35-39",""
"Female","9078"
"Male","4380"
"40-44",""
"Female","8281"
"Male","4644"
"45-49",""
"Female","7418"
"Male","4977"
"50-54",""
"Female","7019"
"Male","5544"
"55-59",""
"Female","5784"
"Male","4681"
"5-9",""
"Female","17299"
"Male","17852"
"60-64",""
"Female","5710"
"Male","4688"
"65-69",""
"Female","3995"
"Male","3840"
"70-74",""
"Female","2669"
"Male","2967"
"75+",""
"Female","3602"
"Male","3683"
