"Industries Employment","Number"
"Accommodation,  food",""
"Female","2281"
"Male","2090"
"Administrative, support service",""
"Female","16"
"Male","48"
"Agriculture, forestry and  fishing",""
"Female","3874"
"Male","5646"
"Arts, entertainment, recreation",""
"Female","6"
"Male","22"
"Construction",""
"Female","9"
"Male","42"
"Education",""
"Female","2842"
"Male","3193"
"Electricity, gas and water",""
"Female","42"
"Male","242"
"Financial intermediation and insurance",""
"Female","1223"
"Male","991"
"Health, social work",""
"Female","3198"
"Male","847"
"Information and communication",""
"Female","48"
"Male","57"
"Manufacturing",""
"Female","2915"
"Male","6713"
"Other service activities",""
"Female","4361"
"Male","3116"
"Professional, scientific, techniqual activity",""
"Female","44"
"Male","84"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","51"
"Male","135"
"Water supply, wet management",""
"Female","151"
"Male","312"
"Wholesale, retail trade",""
"Female","4807"
"Male","5865"
