"Population by Caste Ethinicity","Number"
"Baraee",""
"Female","259"
"Male","233"
"","492"
"Bin",""
"Female","50"
"Male","59"
"","109"
"Brahman - Hill",""
"Female","155"
"Male","154"
"","309"
"Brahman - Tarai",""
"Female","201"
"Male","205"
"","406"
"Chamar/ Harijan/ Ram",""
"Female","679"
"Male","703"
"","1382"
"Chhetri",""
"Female","47"
"Male","54"
"","101"
"Damai/Dholi",""
"Female","6"
"Male","5"
"","11"
"Dhanuk",""
"Female","431"
"Male","432"
"","863"
"Dhobi",""
"Female","313"
"Male","300"
"","613"
"Dhunia",""
"Female","297"
"Male","311"
"","608"
"Dom",""
"Female","38"
"Male","48"
"","86"
"Dusadh/ Pasawan/ Pasi",""
"Female","324"
"Male","319"
"","643"
"Gaderi/Bhedihar",""
"Female","86"
"Male","80"
"","166"
"Hajam/Thakur",""
"Female","378"
"Male","342"
"","720"
"Halwai",""
"Female","161"
"Male","194"
"","355"
"Kalwar",""
"Female","35"
"Male","32"
"","67"
"Kanu",""
"Female","348"
"Male","324"
"","672"
"Kathabaniyan",""
"Female","41"
"Male","67"
"","108"
"Kayastha",""
"Female","54"
"Male","51"
"","105"
"Khatwe",""
"Female","271"
"Male","240"
"","511"
"Koiri/Kushwaha",""
"Female","587"
"Male","612"
"","1199"
"Kumhar",""
"Female","117"
"Male","105"
"","222"
"Kurmi",""
"Female","397"
"Male","414"
"","811"
"Lohar",""
"Female","458"
"Male","488"
"","946"
"Mali",""
"Female","59"
"Male","60"
"","119"
"Mallaha",""
"Female","527"
"Male","550"
"","1077"
"Musahar",""
"Female","302"
"Male","317"
"","619"
"Musalman",""
"Female","1892"
"Male","1671"
"","3563"
"Natuwa",""
"Female","13"
"Male","14"
"","27"
"Nuniya",""
"Female","658"
"Male","672"
"","1330"
"Others",""
"Female","55"
"Male","29"
"","84"
"Sanyasi/Dasnami",""
"Female","13"
"Male","25"
"","38"
"Sonar",""
"Female","289"
"Male","309"
"","598"
"Sudhi",""
"Female","432"
"Male","449"
"","881"
"Sunuwar",""
"Female","11"
"Male","11"
"","22"
"Tamang",""
"Female","33"
"Male","31"
"","64"
"Tatma/Tatwa",""
"Female","67"
"Male","69"
"","136"
"Teli",""
"Female","858"
"Male","888"
"","1746"
"Terai Others",""
"Female","10"
"Male","8"
"","18"
"Tharu",""
"Female","66"
"Male","73"
"","139"
"Yadav",""
"Female","8092"
"Male","8689"
"","16781"
