"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","68"
"Male","58"
"","126"
"Bantar/Sardar",""
"Female","580"
"Male","507"
"","1087"
"Baraee",""
"Female","80"
"Male","62"
"","142"
"Brahman - Hill",""
"Female","46"
"Male","32"
"","78"
"Brahman - Tarai",""
"Female","21"
"Male","28"
"","49"
"Chamar/ Harijan/ Ram",""
"Female","588"
"Male","550"
"","1138"
"Chhetri",""
"Female","66"
"Male","54"
"","120"
"Dhanuk",""
"Female","193"
"Male","181"
"","374"
"Dhimal",""
"Female","9"
"Male","10"
"","19"
"Dhobi",""
"Female","151"
"Male","125"
"","276"
"Dom",""
"Female","46"
"Male","47"
"","93"
"Dusadh/ Pasawan/ Pasi",""
"Female","159"
"Male","155"
"","314"
"Hajam/Thakur",""
"Female","211"
"Male","180"
"","391"
"Halwai",""
"Female","468"
"Male","485"
"","953"
"Kalwar",""
"Female","250"
"Male","235"
"","485"
"Kami",""
"Female","83"
"Male","92"
"","175"
"Kathabaniyan",""
"Female","246"
"Male","235"
"","481"
"Kayastha",""
"Female","39"
"Male","35"
"","74"
"Kewat",""
"Female","26"
"Male","19"
"","45"
"Khatwe",""
"Female","1698"
"Male","1566"
"","3264"
"Koiri/Kushwaha",""
"Female","227"
"Male","220"
"","447"
"Lohar",""
"Female","27"
"Male","26"
"","53"
"Magar",""
"Female","142"
"Male","150"
"","292"
"Mali",""
"Female","7"
"Male","6"
"","13"
"Mallaha",""
"Female","224"
"Male","218"
"","442"
"Musahar",""
"Female","717"
"Male","713"
"","1430"
"Musalman",""
"Female","893"
"Male","766"
"","1659"
"Newar",""
"Female","34"
"Male","31"
"","65"
"Others",""
"Female","42"
"Male","22"
"","64"
"Punjabi/Sikh",""
"Female","33"
"Male","29"
"","62"
"Rai",""
"Female","17"
"Male","13"
"","30"
"Rajbansi",""
"Female","17"
"Male","16"
"","33"
"Rajdhob",""
"Female","1270"
"Male","1233"
"","2503"
"Rajput",""
"Female","13"
"Male","10"
"","23"
"Sonar",""
"Female","15"
"Male","11"
"","26"
"Tamang",""
"Female","84"
"Male","72"
"","156"
"Tatma/Tatwa",""
"Female","7"
"Male","8"
"","15"
"Teli",""
"Female","924"
"Male","814"
"","1738"
"Terai Others",""
"Female","18"
"Male","19"
"","37"
"Thakuri",""
"Female","13"
"Male","7"
"","20"
"Tharu",""
"Female","1337"
"Male","1260"
"","2597"
"Yadav",""
"Female","2474"
"Male","2524"
"","4998"
