"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1305"
"Christianity","0"
"Hindu","23421"
"Islam","1661"
"Jainism","0"
"Kirat","18"
"Prakriti","8"
"Sikhism","0"
"Undefined","77"
"Total","26490"
