"Population by Caste/Ethinicity","Number"
"Bhote",""
"Female","30"
"Male","24"
"Brahman - Hill",""
"Female","1168"
"Male","999"
"Chhetri",""
"Female","2278"
"Male","2211"
"Dalit Others",""
"Female","118"
"Male","111"
"Damai/Dholi",""
"Female","193"
"Male","155"
"Danuwar",""
"Female","26"
"Male","34"
"Gharti/Bhujel",""
"Female","6"
"Male","5"
"Kamar",""
"Female","10"
"Male","4"
"Kami",""
"Female","226"
"Male","213"
"Magar",""
"Female","124"
"Male","113"
"Musalman",""
"Female","7"
"Male","4"
"Newar",""
"Female","482"
"Male","463"
"Others",""
"Female","20"
"Male","16"
"Rai",""
"Female","653"
"Male","560"
"Sanyasi/Dasnami",""
"Female","193"
"Male","205"
"Sarki",""
"Female","274"
"Male","259"
"Tamang",""
"Female","2314"
"Male","2244"
"Terai Others",""
"Female","10"
"Male","7"
"Thakuri",""
"Female","102"
"Male","84"
