"Population by Five Years Age Group","Number"
"0-4",""
"Female","2604"
"Male","2555"
"10-14",""
"Female","3187"
"Male","3373"
"15-19",""
"Female","3062"
"Male","3086"
"20-24",""
"Female","2924"
"Male","2577"
"25-29",""
"Female","2761"
"Male","2482"
"30-34",""
"Female","2206"
"Male","2053"
"35-39",""
"Female","2050"
"Male","2083"
"40-44",""
"Female","1594"
"Male","1704"
"45-49",""
"Female","1322"
"Male","1517"
"50-54",""
"Female","904"
"Male","1172"
"55-59",""
"Female","740"
"Male","886"
"5-9",""
"Female","3080"
"Male","3287"
"60-64",""
"Female","664"
"Male","676"
"65-69",""
"Female","461"
"Male","500"
"70-74",""
"Female","287"
"Male","291"
"75+",""
"Female","264"
"Male","221"
