"Population by Mother tongue","Number"
"Avadhi",""
"Female","195"
"Male","198"
"Bangla",""
"Female","71"
"Male","95"
"Bantawa",""
"Female","48"
"Male","42"
"Bhojpuri",""
"Female","900"
"Male","937"
"Chamling",""
"Female","25"
"Male","20"
"Dhimal",""
"Female","8"
"Male","5"
"Doteli",""
"Female","26"
"Male","20"
"Gurung",""
"Female","12"
"Male","15"
"Hindi",""
"Female","104"
"Male","165"
"Limbu",""
"Female","31"
"Male","46"
"Magar",""
"Female","216"
"Male","225"
"Maithili",""
"Female","8439"
"Male","8888"
"Nepali",""
"Female","3538"
"Male","3434"
"Newar",""
"Female","194"
"Male","195"
"Not Reported",""
"Female","116"
"Male","111"
"Others",""
"Female","73"
"Male","75"
"Rai",""
"Female","104"
"Male","100"
"Rajbanshi",""
"Female","446"
"Male","461"
"Rajsthani",""
"Female","128"
"Male","149"
"Sunuwar",""
"Female","6"
"Male","8"
"Tamang",""
"Female","118"
"Male","119"
"Tharu",""
"Female","6953"
"Male","6714"
"Thulung",""
"Female","12"
"Male","5"
"Uranw/Urau",""
"Female","2063"
"Male","1913"
"Urdu",""
"Female","4283"
"Male","4167"
