"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","317"
"Christianity","59"
"Hindu","21379"
"Islam","30"
"Jainism","0"
"Kirat","1"
"Prakriti","3"
"Sikhism","0"
"Undefined","35"
"Total","21824"
