"Population by Five Years Age Group","Number"
"0-4",""
"Female","712"
"Male","672"
"10-14",""
"Female","968"
"Male","881"
"15-19",""
"Female","772"
"Male","741"
"20-24",""
"Female","543"
"Male","559"
"25-29",""
"Female","454"
"Male","530"
"30-34",""
"Female","381"
"Male","389"
"35-39",""
"Female","357"
"Male","309"
"40-44",""
"Female","341"
"Male","327"
"45-49",""
"Female","301"
"Male","254"
"50-54",""
"Female","265"
"Male","270"
"55-59",""
"Female","197"
"Male","181"
"5-9",""
"Female","937"
"Male","866"
"60-64",""
"Female","187"
"Male","200"
"65-69",""
"Female","121"
"Male","107"
"70-74",""
"Female","91"
"Male","100"
"75+",""
"Female","129"
"Male","142"
