"Population by Single Year of Age","Number"
"0",""
"Female","698"
"Male","765"
"1",""
"Female","729"
"Male","838"
"10",""
"Female","1377"
"Male","1607"
"11",""
"Female","1137"
"Male","1158"
"12",""
"Female","1518"
"Male","1670"
"13",""
"Female","1214"
"Male","1351"
"14",""
"Female","1327"
"Male","1395"
"15",""
"Female","1276"
"Male","1407"
"16",""
"Female","1360"
"Male","1458"
"17",""
"Female","1050"
"Male","1247"
"18",""
"Female","1662"
"Male","1688"
"19",""
"Female","1006"
"Male","980"
"2",""
"Female","823"
"Male","1003"
"20",""
"Female","1540"
"Male","1341"
"21",""
"Female","1006"
"Male","822"
"22",""
"Female","1440"
"Male","1203"
"23",""
"Female","977"
"Male","756"
"24",""
"Female","1075"
"Male","952"
"25",""
"Female","1455"
"Male","1155"
"26",""
"Female","964"
"Male","897"
"27",""
"Female","802"
"Male","760"
"28",""
"Female","1218"
"Male","1092"
"29",""
"Female","437"
"Male","503"
"3",""
"Female","892"
"Male","981"
"30",""
"Female","1723"
"Male","1340"
"31",""
"Female","345"
"Male","397"
"32",""
"Female","835"
"Male","807"
"33",""
"Female","541"
"Male","486"
"34",""
"Female","498"
"Male","492"
"35",""
"Female","1529"
"Male","1276"
"36",""
"Female","615"
"Male","574"
"37",""
"Female","347"
"Male","405"
"38",""
"Female","763"
"Male","577"
"39",""
"Female","276"
"Male","268"
"4",""
"Female","983"
"Male","1134"
"40",""
"Female","1524"
"Male","1294"
"41",""
"Female","264"
"Male","268"
"42",""
"Female","509"
"Male","553"
"43",""
"Female","287"
"Male","297"
"44",""
"Female","262"
"Male","266"
"45",""
"Female","1099"
"Male","963"
"46",""
"Female","322"
"Male","268"
"47",""
"Female","213"
"Male","225"
"48",""
"Female","484"
"Male","466"
"49",""
"Female","162"
"Male","191"
"5",""
"Female","1067"
"Male","1271"
"50",""
"Female","1082"
"Male","911"
"51",""
"Female","156"
"Male","201"
"52",""
"Female","261"
"Male","370"
"53",""
"Female","188"
"Male","188"
"54",""
"Female","181"
"Male","190"
"55",""
"Female","626"
"Male","586"
"56",""
"Female","228"
"Male","228"
"57",""
"Female","156"
"Male","140"
"58",""
"Female","284"
"Male","298"
"59",""
"Female","153"
"Male","132"
"6",""
"Female","1037"
"Male","1149"
"60",""
"Female","885"
"Male","653"
"61",""
"Female","142"
"Male","143"
"62",""
"Female","232"
"Male","251"
"63",""
"Female","147"
"Male","154"
"64",""
"Female","135"
"Male","178"
"65",""
"Female","567"
"Male","395"
"66",""
"Female","138"
"Male","170"
"67",""
"Female","91"
"Male","107"
"68",""
"Female","168"
"Male","225"
"69",""
"Female","60"
"Male","70"
"7",""
"Female","1005"
"Male","1188"
"70",""
"Female","472"
"Male","392"
"71",""
"Female","60"
"Male","60"
"72",""
"Female","145"
"Male","165"
"73",""
"Female","60"
"Male","100"
"74",""
"Female","51"
"Male","66"
"75",""
"Female","242"
"Male","177"
"76",""
"Female","56"
"Male","61"
"77",""
"Female","41"
"Male","48"
"78",""
"Female","59"
"Male","97"
"79",""
"Female","30"
"Male","29"
"8",""
"Female","1274"
"Male","1557"
"80",""
"Female","180"
"Male","133"
"81",""
"Female","17"
"Male","34"
"82",""
"Female","58"
"Male","43"
"83",""
"Female","24"
"Male","21"
"84",""
"Female","44"
"Male","52"
"85",""
"Female","210"
"Male","167"
"9",""
"Female","992"
"Male","1122"
