"Population by Five Years Age Group","Number"
"0-4",""
"Female","4125"
"Male","4721"
"10-14",""
"Female","6573"
"Male","7181"
"15-19",""
"Female","6354"
"Male","6780"
"20-24",""
"Female","6038"
"Male","5074"
"25-29",""
"Female","4876"
"Male","4407"
"30-34",""
"Female","3942"
"Male","3522"
"35-39",""
"Female","3530"
"Male","3100"
"40-44",""
"Female","2846"
"Male","2678"
"45-49",""
"Female","2280"
"Male","2113"
"50-54",""
"Female","1868"
"Male","1860"
"55-59",""
"Female","1447"
"Male","1384"
"5-9",""
"Female","5375"
"Male","6287"
"60-64",""
"Female","1541"
"Male","1379"
"65-69",""
"Female","1024"
"Male","967"
"70-74",""
"Female","788"
"Male","783"
"75+",""
"Female","961"
"Male","862"
