"Number of households by type of outer wall","Number"
"BambooWall","1826"
"Cement Bonded Bricks/Stone Wall","6251"
"Mud Bonded Bricks/Stone Wall","2753"
"Not Stated about Wall","86"
"Other Type Wall","949"
"Unbaked Bricks","35"
"Wood/Planks","431"
"Total","12331"
