"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","1455"
"Cow Dung","32"
"Electricity Fuel","35"
"KeroseneFuel","69"
"LP Gas","3960"
"Not Sated about Fuel","47"
"OthersFuel","260"
"Wood/FireWood","6473"
"Total","12331"
