"Population by Five Years Age Group","Number"
"0-4",""
"Female","600"
"Male","558"
"10-14",""
"Female","617"
"Male","633"
"15-19",""
"Female","386"
"Male","401"
"20-24",""
"Female","306"
"Male","204"
"25-29",""
"Female","288"
"Male","259"
"30-34",""
"Female","251"
"Male","203"
"35-39",""
"Female","239"
"Male","241"
"40-44",""
"Female","235"
"Male","197"
"45-49",""
"Female","184"
"Male","206"
"50-54",""
"Female","128"
"Male","140"
"55-59",""
"Female","110"
"Male","134"
"5-9",""
"Female","697"
"Male","666"
"60-64",""
"Female","109"
"Male","120"
"65-69",""
"Female","89"
"Male","104"
"70-74",""
"Female","48"
"Male","47"
"75+",""
"Female","62"
"Male","53"
