"Industries Employment","Number"
"Accommodation,  food",""
"Female","1186"
"Male","1148"
"Administrative, support service",""
"Female","12"
"Male","60"
"Agriculture, forestry and  fishing",""
"Female","282"
"Male","664"
"Arts, entertainment, recreation",""
"Female","8"
"Male","39"
"Construction",""
"Female","2"
"Male","8"
"Education",""
"Female","2812"
"Male","3077"
"Electricity, gas and water",""
"Female","31"
"Male","136"
"Financial intermediation and insurance",""
"Female","249"
"Male","439"
"Health, social work",""
"Female","797"
"Male","400"
"Information and communication",""
"Female","27"
"Male","109"
"Manufacturing",""
"Female","574"
"Male","1694"
"Other service activities",""
"Female","487"
"Male","1154"
"Professional, scientific, techniqual activity",""
"Female","68"
"Male","144"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","41"
"Male","139"
"Water supply, wet management",""
"Female","11"
"Male","108"
"Wholesale, retail trade",""
"Female","3218"
"Male","3752"
