"Population by Mother tongue","Number"
"Bajjika",""
"Female","5564"
"Male","5855"
"Bhojpuri",""
"Female","3395"
"Male","3532"
"Danuwar",""
"Female","431"
"Male","396"
"Doteli",""
"Female","25"
"Male","21"
"Gurung",""
"Female","74"
"Male","66"
"Hindi",""
"Female","56"
"Male","69"
"Magar",""
"Female","879"
"Male","801"
"Maithili",""
"Female","1382"
"Male","1418"
"Majhi",""
"Female","736"
"Male","694"
"Nepali",""
"Female","13452"
"Male","12728"
"Newar",""
"Female","316"
"Male","304"
"Not Reported",""
"Female","117"
"Male","122"
"Others",""
"Female","12"
"Male","16"
"Pahari",""
"Female","39"
"Male","44"
"Rai",""
"Female","456"
"Male","520"
"Sunuwar",""
"Female","13"
"Male","14"
"Tamang",""
"Female","4531"
"Male","4530"
"Tharu",""
"Female","4223"
"Male","4197"
"Urdu",""
"Female","497"
"Male","523"
"Waling/Walung",""
"Female","3"
"Male","8"
