"Population by Five Years Age Group","Number"
"0-4",""
"Female","3107"
"Male","3257"
"10-14",""
"Female","4700"
"Male","4722"
"15-19",""
"Female","4193"
"Male","3959"
"20-24",""
"Female","3591"
"Male","3011"
"25-29",""
"Female","3056"
"Male","2743"
"30-34",""
"Female","2594"
"Male","2337"
"35-39",""
"Female","2461"
"Male","2396"
"40-44",""
"Female","1999"
"Male","2065"
"45-49",""
"Female","1561"
"Male","1742"
"50-54",""
"Female","1257"
"Male","1455"
"55-59",""
"Female","950"
"Male","1116"
"5-9",""
"Female","4132"
"Male","4340"
"60-64",""
"Female","938"
"Male","1003"
"65-69",""
"Female","667"
"Male","698"
"70-74",""
"Female","484"
"Male","541"
"75+",""
"Female","511"
"Male","499"
