"Agricultural land use area","Hectare"
"Area under arable land","27677.00"
"Area under meadows and pasture","345.00"
"Area under permanent crops","1395.00"
"Area under Temporary crops","27008.00"
"Area under temporary fallow","523.00"
"Area under temporary meadows","146.00"
"Other land","1211.00"
"Ponds","3.00"
"Woodland and forest","863.00"
"Total","59171.00"
