"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","34174"
"Mud Roof","11"
"Not Sated Roof","396"
"Other Type of Roof","329"
"RCC Roof","4747"
"Thatch/Straw Roof","7073"
"Tile/Slate Roof","16801"
"Wood/Planks Roof","2927"
"Total","66458"
