"Population by Caste Ethinicity","Number"
"Badi",""
"Female","141"
"Male","133"
"","274"
"Bangali",""
"Female","5"
"Male","9"
"","14"
"Bhote",""
"Female","5"
"Male","6"
"","11"
"Brahman - Hill",""
"Female","22818"
"Male","18171"
"","40989"
"Brahman - Tarai",""
"Female","3"
"Male","15"
"","18"
"Brahmu/ Baramo",""
"Female","3742"
"Male","3027"
"","6769"
"Chamar/ Harijan/ Ram",""
"Female","6"
"Male","16"
"","22"
"Chepang /Praja",""
"Female","1789"
"Male","1657"
"","3446"
"Chhetri",""
"Female","17520"
"Male","13529"
"","31049"
"Dalit Others",""
"Female","34"
"Male","32"
"","66"
"Damai/Dholi",""
"Female","4363"
"Male","3593"
"","7956"
"Darai",""
"Female","449"
"Male","376"
"","825"
"Foreigner",""
"Female","4"
"Male","7"
"","11"
"Gaine",""
"Female","102"
"Male","75"
"","177"
"Ghale",""
"Female","2792"
"Male","2316"
"","5108"
"Gharti/Bhujel",""
"Female","1190"
"Male","983"
"","2173"
"Gurung",""
"Female","29678"
"Male","23457"
"","53135"
"Hajam/Thakur",""
"Female","4"
"Male","18"
"","22"
"Halwai",""
"Female","5"
"Male","6"
"","11"
"Kalwar",""
"Female","7"
"Male","10"
"","17"
"Kamar",""
"Female","21"
"Male","14"
"","35"
"Kami",""
"Female","8269"
"Male","6770"
"","15039"
"Kanu",""
"Female","2"
"Male","18"
"","20"
"Kathabaniyan",""
"Female","13"
"Male","10"
"","23"
"Koiri/Kushwaha",""
"Female","14"
"Male","15"
"","29"
"Kumal",""
"Female","4476"
"Male","3519"
"","7995"
"Kurmi",""
"Female","0"
"Male","13"
"","13"
"Limbu",""
"Female","17"
"Male","9"
"","26"
"Magar",""
"Female","17497"
"Male","13648"
"","31145"
"Majhi",""
"Female","238"
"Male","198"
"","436"
"Mallaha",""
"Female","5"
"Male","7"
"","12"
"Marwadi",""
"Female","6"
"Male","7"
"","13"
"Musalman",""
"Female","1716"
"Male","1315"
"","3031"
"Newar",""
"Female","11709"
"Male","9214"
"","20923"
"Nuniya",""
"Female","11"
"Male","87"
"","98"
"Others",""
"Female","323"
"Male","307"
"","630"
"Rai",""
"Female","75"
"Male","75"
"","150"
"Sanyasi/Dasnami",""
"Female","1532"
"Male","1166"
"","2698"
"Sarki",""
"Female","11453"
"Male","9081"
"","20534"
"Sherpa",""
"Female","25"
"Male","14"
"","39"
"Sunuwar",""
"Female","21"
"Male","20"
"","41"
"Tamang",""
"Female","6969"
"Male","5877"
"","12846"
"Teli",""
"Female","13"
"Male","52"
"","65"
"Terai Others",""
"Female","14"
"Male","14"
"","28"
"Thakali",""
"Female","9"
"Male","5"
"","14"
"Thakuri",""
"Female","427"
"Male","333"
"","760"
"Tharu",""
"Female","57"
"Male","97"
"","154"
"Undefined Others",""
"Female","27"
"Male","25"
"","52"
