"Number of households by type of outer wall","Number"
"BambooWall","680"
"Cement Bonded Bricks/Stone Wall","6698"
"Mud Bonded Bricks/Stone Wall","57492"
"Not Stated about Wall","389"
"Other Type Wall","232"
"Unbaked Bricks","31"
"Wood/Planks","936"
"Total","66458"
