"Number of households by type of outer wall","Number"
"BambooWall","6439"
"Cement Bonded Bricks/Stone Wall","19090"
"Mud Bonded Bricks/Stone Wall","1130"
"Not stated","442"
"Others","719"
"Unbaked Bricks","41"
"Wood/Planks","4832"
"Total","32693"
