"Population by Five Years Age Group","Number"
"0-4",""
"Female","4453"
"Male","4795"
"10-14",""
"Female","7550"
"Male","8341"
"15-19",""
"Female","8500"
"Male","8478"
"20-24",""
"Female","8784"
"Male","7251"
"25-29",""
"Female","7574"
"Male","5554"
"30-34",""
"Female","6138"
"Male","4880"
"35-39",""
"Female","5181"
"Male","4159"
"40-44",""
"Female","4421"
"Male","3947"
"45-49",""
"Female","3485"
"Male","3190"
"50-54",""
"Female","3060"
"Male","2878"
"55-59",""
"Female","2240"
"Male","2133"
"5-9",""
"Female","6353"
"Male","6846"
"60-64",""
"Female","2115"
"Male","1727"
"65-69",""
"Female","1439"
"Male","1291"
"70-74",""
"Female","1075"
"Male","944"
"75+",""
"Female","1437"
"Male","1220"
