"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","403"
"Male","347"
"Chhetri",""
"Female","465"
"Male","452"
"Damai/Dholi",""
"Female","97"
"Male","100"
"Gurung",""
"Female","163"
"Male","145"
"Kami",""
"Female","267"
"Male","230"
"Kayastha",""
"Female","34"
"Male","33"
"Limbu",""
"Female","1289"
"Male","1207"
"Loharung",""
"Female","125"
"Male","121"
"Magar",""
"Female","453"
"Male","391"
"Newar",""
"Female","91"
"Male","78"
"Others",""
"Female","20"
"Male","17"
"Rai",""
"Female","1115"
"Male","1012"
"Sanyasi/Dasnami",""
"Female","41"
"Male","34"
"Tamang",""
"Female","875"
"Male","845"
"Terai Others",""
"Female","12"
"Male","9"
"Thulung",""
"Female","13"
"Male","8"
