"Population by Five Years Age Group","Number"
"0-4",""
"Female","481"
"Male","498"
"10-14",""
"Female","755"
"Male","738"
"15-19",""
"Female","601"
"Male","634"
"20-24",""
"Female","488"
"Male","300"
"25-29",""
"Female","377"
"Male","253"
"30-34",""
"Female","349"
"Male","226"
"35-39",""
"Female","275"
"Male","257"
"40-44",""
"Female","286"
"Male","249"
"45-49",""
"Female","235"
"Male","248"
"50-54",""
"Female","217"
"Male","226"
"55-59",""
"Female","166"
"Male","168"
"5-9",""
"Female","749"
"Male","750"
"60-64",""
"Female","171"
"Male","144"
"65-69",""
"Female","93"
"Male","116"
"70-74",""
"Female","93"
"Male","83"
"75+",""
"Female","127"
"Male","139"
