"Number of households by type of outer wall","Number"
"BambooWall","8532"
"Cement Bonded Bricks/Stone Wall","5734"
"Mud Bonded Bricks/Stone Wall","651"
"Not stated","175"
"Others","13"
"Unbaked Bricks","19"
"Wood/Planks","353"
"Total","15477"
