"Population by Five Years Age Group","Number"
"0-4",""
"Female","4512"
"Male","4869"
"10-14",""
"Female","5538"
"Male","5969"
"15-19",""
"Female","3573"
"Male","3995"
"20-24",""
"Female","3616"
"Male","2694"
"25-29",""
"Female","3647"
"Male","2436"
"30-34",""
"Female","3305"
"Male","2094"
"35-39",""
"Female","2953"
"Male","2097"
"40-44",""
"Female","2227"
"Male","1914"
"45-49",""
"Female","1868"
"Male","1810"
"50-54",""
"Female","1531"
"Male","1556"
"55-59",""
"Female","1240"
"Male","1384"
"5-9",""
"Female","5735"
"Male","6017"
"60-64",""
"Female","1179"
"Male","1212"
"65-69",""
"Female","823"
"Male","887"
"70-74",""
"Female","596"
"Male","615"
"75+",""
"Female","484"
"Male","544"
