"Population by Single Year of Age","Number"
"0",""
"Female","79"
"Male","82"
"1",""
"Female","59"
"Male","76"
"10",""
"Female","96"
"Male","94"
"11",""
"Female","87"
"Male","77"
"12",""
"Female","104"
"Male","90"
"13",""
"Female","94"
"Male","97"
"14",""
"Female","107"
"Male","94"
"15",""
"Female","107"
"Male","101"
"16",""
"Female","105"
"Male","83"
"17",""
"Female","100"
"Male","102"
"18",""
"Female","113"
"Male","98"
"19",""
"Female","80"
"Male","62"
"2",""
"Female","82"
"Male","78"
"20",""
"Female","96"
"Male","77"
"21",""
"Female","74"
"Male","47"
"22",""
"Female","113"
"Male","61"
"23",""
"Female","81"
"Male","54"
"24",""
"Female","73"
"Male","46"
"25",""
"Female","90"
"Male","52"
"26",""
"Female","73"
"Male","36"
"27",""
"Female","49"
"Male","42"
"28",""
"Female","65"
"Male","39"
"29",""
"Female","31"
"Male","20"
"3",""
"Female","55"
"Male","81"
"30",""
"Female","86"
"Male","47"
"31",""
"Female","51"
"Male","44"
"32",""
"Female","59"
"Male","40"
"33",""
"Female","42"
"Male","29"
"34",""
"Female","45"
"Male","25"
"35",""
"Female","54"
"Male","44"
"36",""
"Female","67"
"Male","30"
"37",""
"Female","47"
"Male","28"
"38",""
"Female","40"
"Male","31"
"39",""
"Female","44"
"Male","30"
"4",""
"Female","87"
"Male","88"
"40",""
"Female","71"
"Male","55"
"41",""
"Female","42"
"Male","34"
"42",""
"Female","49"
"Male","32"
"43",""
"Female","42"
"Male","38"
"44",""
"Female","19"
"Male","20"
"45",""
"Female","53"
"Male","48"
"46",""
"Female","37"
"Male","37"
"47",""
"Female","40"
"Male","33"
"48",""
"Female","41"
"Male","33"
"49",""
"Female","35"
"Male","41"
"5",""
"Female","85"
"Male","86"
"50",""
"Female","64"
"Male","57"
"51",""
"Female","42"
"Male","33"
"52",""
"Female","38"
"Male","31"
"53",""
"Female","32"
"Male","29"
"54",""
"Female","43"
"Male","38"
"55",""
"Female","30"
"Male","26"
"56",""
"Female","31"
"Male","34"
"57",""
"Female","29"
"Male","31"
"58",""
"Female","31"
"Male","22"
"59",""
"Female","29"
"Male","22"
"6",""
"Female","110"
"Male","83"
"60",""
"Female","40"
"Male","35"
"61",""
"Female","22"
"Male","40"
"62",""
"Female","36"
"Male","20"
"63",""
"Female","33"
"Male","19"
"64",""
"Female","38"
"Male","24"
"65",""
"Female","28"
"Male","18"
"66",""
"Female","20"
"Male","15"
"67",""
"Female","19"
"Male","14"
"68",""
"Female","11"
"Male","28"
"69",""
"Female","14"
"Male","15"
"7",""
"Female","107"
"Male","104"
"70",""
"Female","15"
"Male","24"
"71",""
"Female","12"
"Male","10"
"72",""
"Female","18"
"Male","18"
"73",""
"Female","15"
"Male","14"
"74",""
"Female","10"
"Male","19"
"75",""
"Female","30"
"Male","11"
"76",""
"Female","11"
"Male","8"
"77",""
"Female","8"
"Male","8"
"78",""
"Female","13"
"Male","12"
"79",""
"Female","5"
"Male","8"
"8",""
"Female","105"
"Male","87"
"80",""
"Female","13"
"Male","12"
"81",""
"Female","3"
"Male","6"
"82",""
"Female","10"
"Male","6"
"83",""
"Female","4"
"Male","7"
"84",""
"Female","8"
"Male","4"
"85",""
"Female","22"
"Male","21"
"9",""
"Female","97"
"Male","88"
