"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","100"
"Male","91"
"Brahman - Hill",""
"Female","764"
"Male","661"
"Chhetri",""
"Female","516"
"Male","399"
"Damai/Dholi",""
"Female","145"
"Male","103"
"Gharti/Bhujel",""
"Female","46"
"Male","43"
"Gurung",""
"Female","76"
"Male","71"
"Kami",""
"Female","76"
"Male","75"
"Kulung",""
"Female","110"
"Male","84"
"Limbu",""
"Female","1990"
"Male","1630"
"Others",""
"Female","23"
"Male","18"
"Rai",""
"Female","53"
"Male","41"
"Sanyasi/Dasnami",""
"Female","12"
"Male","8"
"Sherpa",""
"Female","115"
"Male","101"
"Sunuwar",""
"Female","8"
"Male","12"
"Tamang",""
"Female","361"
"Male","346"
