"Population by Five Years Age Group","Number"
"0-4",""
"Female","362"
"Male","405"
"10-14",""
"Female","488"
"Male","452"
"15-19",""
"Female","505"
"Male","446"
"20-24",""
"Female","437"
"Male","285"
"25-29",""
"Female","308"
"Male","189"
"30-34",""
"Female","283"
"Male","185"
"35-39",""
"Female","252"
"Male","163"
"40-44",""
"Female","223"
"Male","179"
"45-49",""
"Female","206"
"Male","192"
"50-54",""
"Female","219"
"Male","188"
"55-59",""
"Female","150"
"Male","135"
"5-9",""
"Female","504"
"Male","448"
"60-64",""
"Female","169"
"Male","138"
"65-69",""
"Female","92"
"Male","90"
"70-74",""
"Female","70"
"Male","85"
"75+",""
"Female","127"
"Male","103"
