"Number of households by type of outer wall","Number"
"BambooWall","9034"
"Cement Bonded Bricks/Stone Wall","988"
"Mud Bonded Bricks/Stone Wall","227"
"Not Stated about Wall","47"
"Other Type Wall","40"
"Unbaked Bricks","16"
"Wood/Planks","443"
"Total","10795"
