"Number of households by type of outer wall","Number"
"BambooWall","3824"
"Cement Bonded Bricks/Stone Wall","2703"
"Mud Bonded Bricks/Stone Wall","4390"
"Not Stated about Wall","33"
"Other Type Wall","1019"
"Unbaked Bricks","887"
"Wood/Planks","208"
"Total","13064"
