"Population by Five Years Age Group","Number"
"0-4",""
"Female","2645"
"Male","2750"
"10-14",""
"Female","3255"
"Male","3476"
"15-19",""
"Female","1954"
"Male","2520"
"20-24",""
"Female","1803"
"Male","1721"
"25-29",""
"Female","1892"
"Male","1579"
"30-34",""
"Female","1789"
"Male","1327"
"35-39",""
"Female","1632"
"Male","1337"
"40-44",""
"Female","1400"
"Male","1317"
"45-49",""
"Female","1176"
"Male","1105"
"50-54",""
"Female","959"
"Male","1021"
"55-59",""
"Female","859"
"Male","917"
"5-9",""
"Female","3489"
"Male","3589"
"60-64",""
"Female","807"
"Male","852"
"65-69",""
"Female","569"
"Male","635"
"70-74",""
"Female","337"
"Male","411"
"75+",""
"Female","270"
"Male","299"
