"Agricultural land use area","Hectare"
"Area under arable land","15546.23"
"Area under meadows and pasture","473.50"
"Area under permanent crops","1133.90"
"Area under Temporary crops","15181.15"
"Area under temporary fallow","265.93"
"Area under temporary meadows","99.15"
"Other land","566.10"
"Ponds","0.00"
"Woodland and forest","1397.03"
